Player_ID,Last,First,Suffix,NFL.com,RAS,RAS(All_Time),Final_Year_PFF
Garrlson22,Wilson,Garrett,,6.5,7.77,7.82,84.1
Chrilave22,Olave,Chris,,6.43,8.64,8.64,79.3
Chritson22,Watson,Christian,,6.27,9.96,9.96,87.9
Drakndon22,London,Drake,,6.4,,,91.3
Georkens22,Pickens,George,,6.23,9.35,9.36,73.5
Jahatson22,Dotson,Jahan,,6.25,6.33,6.35,87.5
Alecerce22,Pierce,Alec,,6.16,9.83,9.84,76.5
Rashheed22,Shaheed,Rashid,,,,,
Romeoubs22,Doubs,Romeo,,5.92,,,81.7
Treyurks22,Burks,Treylon,,6.5,5.79,5.84,85.8
Tyqunton22,Thornton,Tyquan,,5.97,8.54,8.59,
Wandnson22,Robinson,Wan'Dale,,6.17,7.36,7.42,
Skyyoore22,Moore,Skyy,,6.24,7.58,7.67,91.8
Jaleilor22,Nailor,Jalen,,5.94,8.09,8.15,
Khalakir22,Shakir,Khalil,,6.18,8.31,8.36,86.7
DaviBell22,Bell,David,,5.95,3.99,4.08,
Veluones22,Jones,Velus,Jr.,5.93,7.1,7.15,
Samooure22,Toure,Samori,,5.82,6.14,6.22,
Jalergil22,Virgil,Jalen,,5.6,9.16,9.22,
Jameiams22,Williams,Jameson,,6.48,,,81.6
Kylelips22,Philips,Kyle,,5.84,8.31,8.33,77.6
Andrllia20,Baccellia,Andre,,,,,
Dareoung22,Young,Dareke,,5.68,9.93,9.93,
Devekins22,Thompkins,Deven,,,7.17,7.19,
DannGray22,Gray,Danny,,6,6.76,6.8,
Jalebert22,Tolbert,Jalen,,6.21,8.62,8.68,82.3
Brayders22,Sanders,Braylon,,5.8,7.65,7.73,
Erikanma22,Ezukanma,Erik,,5.99,7.03,7.1,
Montgton22,Washington,Montrell,,6.18,4.32,4.41,
Johnchie22,Metchie,John,,6.18,,,78.2
Calvstin22,Austin,Calvin,III,6,9.05,9.05,84.7
Michoods22,Woods,Michael,,5.57,7.62,7.71,
Bolton22,Melton,Bo,,5.92,9.23,9.26,
MakaPolk22,Polk,Makai,,6.1,4.88,4.98,
Kevistin22,Austin,Kevin,Jr.,6,9.94,9.94,
Dontmond22,Drummond,Dontario,,5.9,5.69,5.79,
Trerner22,Turner,Tre,,5.9,3.46,3.53,
JustRoss22,Ross,Justyn,,5.89,2.59,2.65,
Isaiston22,Weston,Isaiah,,5.85,9.62,9.63,
Keshbram22,Abram,Keshunn,,5.69,9.19,9.21,
Tannnner22,Conner,Tanner,,5.69,8.86,8.92,
Tyogle22,Fryfogle,Ty,,5.68,7.2,7.27,
Jaqurson22,Roberson,Jaquarii,,5.67,9.01,9.04,
Jerrerns22,Sterns,Jerreth,,5.67,5.5,5.55,
Britovey22,Covey,Britain,,5.62,5.87,5.86,
Deerson22,Anderson,Dee,,5.61,8.17,8.25,
Daijixon22,Dixon,Dai'Jean,,5.6,5.88,5.95,
Charambo22,Rambo,Charleston,,5.6,5.82,5.9,
Emekezie22,Emezie,Emeka,,5.6,3.22,3.33,
Kalieton22,Pimpleton,Kalil,,5.62,6.55,6.59,
Devoiams22,Williams,Devon,,5.6,5.6,5.69,
Jequzard22,Ezzard,Jequez,,5.58,6.9,6.99,
TaysMack22,Mack,Taysir,,5.58,7.68,7.78,
Tayrtin22,Martin,Tay,,5.57,6.48,6.56,
Johnnson22,Johnson,Johnny,III,5.56,5.4,5.48,
Kwamiter22,Lassiter,Kwamie,II,5.56,4.52,4.61,
Sladlden22,Bolden,Slade,,5.55,4.86,4.92,
Calvrner22,Turner,Calvin,Jr.,5.55,7.05,7.14,
Jaivligh22,Heiligh,Jaivon,,5.54,3.89,4.02,
Coretton22,Sutton,Corey,,,,,
Kayliger22,Geiger,Kaylon,,,4.21,4.31,
Mikerley22,Harley,Mike,,,6.61,6.69,
Stanhill22,Berryhill,Stanley,III,,5.8,5.83,
Thomigan22,Hennigan,Thomas,,,2.67,2.75,
JaMahase21,Chase,Ja'Marr,,7.12,9.82,9.83,
Jaylddle21,Waddle,Jaylen,,6.86,,,
Amonrown21,St. Brown,Amon-Ra,,6.21,7.12,7.36,
Devomith21,Smith,Devonta,,7.13,,,
Joshlmer21,Palmer,Josh,,6.24,7.59,7.84,
Elijoore21,Moore,Elijah,,6.43,8.69,8.68,
Rasheman21,Bateman,Rashod,,6.27,8.04,8.22,
Nicolins21,Collins,Nico,,6.28,9.57,9.59,
Terrhall21,Marshall,Terrace,Jr.,6.34,9.76,9.76,
Rondoore21,Moore,Rondale,,6.22,9.33,9.36,
Benonek21,Skowronek,Ben,,5.86,,,
Kadaoney21,Toney,Kadarius,,6.36,8.99,9.1,
Shimith21,Smith,Shi,,6,6.78,6.95,
Tutuwell21,Atwell,Tutu,,5.97,6.25,6.4,
Dyamrown21,Brown,Dyami,,6.19,8.38,8.49,
Amargers21,Rodgers,Amari,,6.25,5.35,5.6,
Ihmiette21,Smith-Marsette,Ihmir,,5.85,6.81,6.99,
Anthartz21,Schwartz,Anthony,,6,6.89,7.08,
Daxilne21,Milne,Dax,,5.66,4.56,4.77,
DWayidge21,Eskridge,D'Wayne,,6.14,6.71,6.91,
Dezrick21,Fitzpatrick,Dez,,5.5,8.81,8.98,
Mikechan21,Strachan,Mike,,5.65,9.22,9.31,
RaceMath21,McMath,Racey,,5.88,7.43,7.51,
Tylalace21,Wallace,Tylan,,6.25,4.71,4.87,
Timones21,Jones,Tim,,5.6,9.03,9.14,
Jaelrden21,Darden,Jaelon,,5.83,7.15,7.18,
Cadenson21,Johnson,Cade,,6.26,3.02,3.05,
Simihoko21,Fehoko,Simi,,5.93,9.18,9.24,
Franarby21,Darby,Frank,,5.97,5.89,6.11,
Sethiams21,Williams,Seth,,5.84,6.86,7.05,
JaleCamp21,Camp,Jalen,,5.83,9.75,9.77,
Jacorris21,Harris,Jacob,,6,9.88,9.9,
Dazzsome21,Newsome,Dazz,,5.8,2.13,2.31,
Tarilack21,Black,Tarik,,5.44,9.55,9.6,
Cornwell21,Powell,Cornell,,6.21,7.57,7.8,
Marqnson21,Stevenson,Marquez,,5.92,5.37,5.55,
Treixon21,Nixon,Tre,,6,8.97,9.05,
Kawaaker21,Baker,Kawaan,,6,9.08,9.17,
Tamoerry21,Terry,Tamorrion,,6.15,7.28,7.47,
Austkins21,Watkins,Austin,Jr.,6.14,2.59,2.77,
Joshebhe21,Imatorbhebhe,Josh,,5.87,8.97,9.08,
Whoplyor21,Philyor,Whop,,5.87,1.63,1.81,
Sageratt21,Surratt,Sage,,5.86,5.65,5.9,
Dilloner21,Stoner,Dillon,,5.8,7.81,8.04,
IsaicKoy21,McKoy,Isaiah,,5.69,2.32,2.51,
Tyleghns21,Vaughns,Tyler,,5.69,1.29,1.47,
Damolton21,Hazelton,Damon,Jr.,5.67,6.36,6.61,
Marliams21,Williams,Marlon,,5.67,3.27,3.4,
Keyiixon21,Dixon,Keyion,,5.63,,,
Bailther21,Gaither,Bailey,,5.61,4.15,4.3,
Branmith21,Smith,Brandon,,5.6,9.97,9.97,
Javonley21,McKinley,Javon,,5.6,7.23,7.49,
Jonadams21,Adams,Jonathan,Jr.,5.6,7.52,7.77,
Warrkson21,Jackson,Warren,,5.59,2.59,2.7,
AntoNunn21,Nunn,Antonio,,5.58,6.65,6.91,
Adriardy21,Hardy,Adrian,,5.57,5.71,5.94,
Khallain21,McClain,Khalil,,5.57,2.32,2.45,
Trevimes21,Grimes,Trevon,,5.56,8.45,8.63,
Blakoehl21,Proehl,Blake,,5.54,8.57,8.73,
Brengles21,Eagles,Brennan,,5.53,8.96,9.06,
TJsher21,Vasher,T.J.,,5.53,,,
BranMack21,Mack,Branden,,5.5,2.34,2.53,
Conngton21,Wedington,Connor,,5.5,8.47,8.55,
Jhamsbon21,Ausbon,Jhamon,,5.5,4.64,4.81,
Osirhell21,Mitchell,Osirus,,5.5,5.85,6.08,
Ricossey21,Bussey,Rico,,5.48,6.2,6.39,
Damooxie21,Coxie,Damonte,,5.45,1.7,1.88,
RileLees21,Lees,Riley,,5.4,5.89,6.05,
DeVoukes21,Dukes,DeVontres,,,4.62,4.78,
Donnrley21,Corley,Donnie,,,5.85,6.1,
JDlman21,Spielman,JD,,,,,
Jereydel21,Haydel,Jeremiah,,,0.99,1.15,
Jereoman23,Holloman,Jeremiah,,,,,
Kekoford21,Crawford,Kekoa,,,6.04,6.08,
Landkers21,Akers,Landen,,,6.18,6.39,
Maliiams21,Williams,Malik,,,2.36,2.44,
Theoward21,Howard,Theo,,,2.51,2.61,
Justrson20,Jefferson,Justin,,6.46,9.69,9.68,
CeeDLamb20,Lamb,CeeDee,,6.81,7.44,7.44,
