Player_ID,Last,First,Suffix,Raw_Height,Height(In),Weight(lbs),BMI,Arm_Length(In),40_Time,Speed_Score,Burst_Score,Agility_Score,Catch_Radius,College_Dominator,College_Target_Share,Breakout_Age,Weight_Adjusted_Speed_Score,Height Adjusted Speed Score,Vertical(In),Bench,Broad_Jump(In),3_Cone,Shuttle
Garrlson22,Wilson,Garrett,,6'0,72,184,25.0,32,4.38,98.6,122.7,,,29.4%,26.3%,20.1,99.99,98.62,,,,,
Chrilave22,Olave,Chris,,6'0,72,185,25.1,31,4.39,98.3,116.4,,,31.8%,26.0%,19.2,99.62,98.25,,,,,
Chritson22,Watson,Christian,,6'4,76,208,25.3,32,4.36,119.9,133.5,11.15,10.37,44.0%,,20.3,115.12,119.85,,,,,
Drakndon22,London,Drake,,6'4,76,213,25.9,33,4.54,104.4,,,,34.9%,27.3%,18.1,100.27,104.39,,,,,
Georkens22,Pickens,George,,6'3,75,200,25.0,32,4.47,102.9,121.2,,,18.9%,15.4%,18.5,100.19,102.94,,,,,
Jahatson22,Dotson,Jahan,,5'11,71,181,25.2,30,4.43,91.4,121.7,,,44.3%,32.5%,20.5,93.99,91.42,,,,,
Alecerce22,Pierce,Alec,,6'3,75,208,26.0,33,4.41,113.0,133.4,11.33,10.35,25.2%,21.3%,19.3,109.99,113.00,,,,,
Rashheed22,Shaheed,Rashid,,6'0,72,180,24.4,31,4.53,84.3,,,,29.0%,,20.0,85.49,84.32,,,,,
Romeoubs22,Doubs,Romeo,,6'2,74,204,26.2,32,4.57,94.8,,,,32.9%,24.6%,19.4,93.54,94.82,,,,,
Treyurks22,Burks,Treylon,,6'2,74,224,28.8,33,4.55,106.0,121.4,11.68,9.98,45.9%,31.3%,20.5,104.53,105.96,,,,,
Tyqunton22,Thornton,Tyquan,,6'2,74,183,23.5,33,4.28,110.6,131.0,11.64,10.20,37.5%,29.6%,19.1,109.07,110.56,,,,,
Wandnson22,Robinson,Wan'Dale,,5'8,68,179,27.2,27,4.44,85.8,118.5,11.12,9.76,37.3%,39.3%,18.7,92.12,85.81,,,,,
Skyyoore22,Moore,Skyy,,5'10,70,191,27.4,31,4.41,96.8,121.2,11.45,9.84,44.8%,39.5%,20.0,101.00,96.85,,,,,
Jaleilor22,Nailor,Jalen,,5'11,71,186,25.9,30,4.50,88.2,128.6,11.31,9.97,32.4%,26.7%,19.5,90.72,88.23,,,,,
Khalakir22,Shakir,Khalil,,6'0,72,196,26.6,29,4.43,100.4,127.5,11.49,9.98,40.8%,32.2%,19.6,101.78,100.39,,,,,
DaviBell22,Bell,David,,6'1,73,209,27.6,32,4.68,87.1,115.1,11.71,9.74,35.1%,28.7%,18.7,87.14,87.14,,,,,
Veluones22,Jones,Velus,Jr.,6'0,72,204,27.7,30,4.31,116.6,116.6,11.83,9.76,22.7%,22.1%,24.3,118.24,116.62,,,,,
Samooure22,Toure,Samori,,6'1,73,191,25.2,32,4.53,90.7,120.7,10.99,10.07,35.0%,23.1%,21.5,90.71,90.71,,,,,
Jalergil22,Virgil,Jalen,,6'0,72,207,28.1,31,4.45,104.1,127.1,11.50,9.96,11.0%,12.4%,,105.57,104.13,,,,,
Jameiams22,Williams,Jameson,,6'1,73,180,23.7,32,4.39,96.9,,,,31.1%,20.7%,20.4,96.93,96.93,,,,,
Kylelips22,Philips,Kyle,,5'11,71,181,25.2,29,4.58,80.0,119.0,10.84,9.91,38.6%,31.3%,20.2,82.27,80.02,,,,,
Andrllia20,Baccellia,Andre,,5'10,70,175,25.1,,,,,,,15.7%,,,#DIV/0!,#DIV/0!,,,,,
